State_Fips,County_Fips,State,County,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019
19,5,Iowa,Allamakee County,14378,14222,14149,14071,14062,13874,13851,13803,13852,13687
19,7,Iowa,Appanoose County,12856,12848,12707,12654,12671,12577,12505,12353,12401,12426
19,9,Iowa,Audubon County,6098,6004,5865,5863,5771,5711,5626,5550,5471,5496
19,11,Iowa,Benton County,26046,26078,25830,25699,25623,25608,25644,25656,25625,25645
19,13,Iowa,Black Hawk County,131162,131584,131878,132933,133390,133701,133077,132238,131723,131228
19,15,Iowa,Boone County,26271,26288,26136,26284,26290,26443,26416,26443,26312,26234
19,17,Iowa,Bremer County,24295,24381,24496,24579,24670,24746,24747,24823,24941,25062
19,19,Iowa,Buchanan County,20974,20911,20994,21026,21131,21105,21007,21126,21178,21175
19,21,Iowa,Buena Vista County,20356,20311,20561,20649,20606,20374,20325,20144,19826,19620
19,23,Iowa,Butler County,14916,14966,14971,14975,14959,14881,14702,14592,14525,14439
19,25,Iowa,Calhoun County,10160,10064,9913,9898,9845,9801,9811,9729,9711,9668
19,27,Iowa,Carroll County,20824,20860,20654,20541,20499,20423,20388,20274,20153,20165
19,29,Iowa,Cass County,13928,13765,13700,13572,13395,13351,13176,13144,12948,12836
19,31,Iowa,Cedar County,18450,18358,18296,18226,18276,18254,18348,18490,18564,18627
19,33,Iowa,Cerro Gordo County,44097,43971,43699,43528,43206,42983,43096,42999,42642,42450
19,35,Iowa,Cherokee County,12110,12024,11951,11874,11801,11483,11394,11307,11295,11235
19,37,Iowa,Chickasaw County,12410,12405,12287,12274,12252,12151,12094,12002,11952,11933
19,39,Iowa,Clarke County,9320,9317,9341,9245,9196,9219,9288,9396,9502,9395
19,41,Iowa,Clay County,16634,16597,16539,16438,16484,16498,16295,16141,16106,16016
19,43,Iowa,Clayton County,18080,18017,17946,17793,17768,17726,17661,17648,17540,17549
19,45,Iowa,Clinton County,49096,49102,48701,48281,47895,47558,47248,46874,46437,46429
19,47,Iowa,Crawford County,17170,17217,17299,17360,17168,17082,17103,17076,17089,16820
19,49,Iowa,Dallas County,66750,69696,72235,74949,77739,80631,84248,87208,89953,93453
19,51,Iowa,Davis County,8776,8771,8707,8769,8756,8777,8884,8969,8972,9000
19,53,Iowa,Decatur County,8418,8249,8239,8216,8209,8137,8053,7947,7890,7870
19,55,Iowa,Delaware County,17764,17632,17567,17473,17395,17393,17288,17143,17081,17011
19,57,Iowa,Des Moines County,40241,40066,40229,40395,40096,39874,39613,39326,39149,38967
19,59,Iowa,Dickinson County,16670,16859,16925,16878,16840,17004,17109,17141,17121,17258
19,61,Iowa,Dubuque County,93929,94593,95159,95945,96481,96850,96763,97066,96922,97311
19,63,Iowa,Emmet County,10276,10089,9944,9880,9821,9702,9581,9422,9277,9208
19,65,Iowa,Fayette County,20860,20976,20774,20519,20290,20142,19858,19687,19679,19650
19,67,Iowa,Floyd County,16309,16095,16087,16023,15999,15910,15857,15767,15752,15642
19,69,Iowa,Franklin County,10706,10693,10509,10507,10433,10319,10177,10160,10085,10070
19,71,Iowa,Fremont County,7434,7371,7141,7069,7030,6912,6947,6930,6981,6960
19,73,Iowa,Greene County,9362,9332,9181,9159,9124,8944,9001,8954,8965,8888
